variant,n_wells,n_rows,row_rmse,well_rmse_mean,well_rmse_median,well_rmse_p75,well_rmse_max
grid_s12_b0p2_h0p05,36,179506,7.929751658040196,6.778764929770414,6.385928059032408,8.269865808047054,18.88113595947734
grid_s12_b0_h0p05,36,179506,7.963182541771286,6.414825128109088,4.924228960532922,8.409181093027216,19.466903702653987
grid_s3_b0p3_h0p15,36,179506,7.977031905809585,7.064254633938701,6.720780206882269,9.075177363845345,17.213214502885254
grid_s5_b0p2_h0p25,36,179506,7.989956674855481,7.094476619352394,6.615545570943883,9.216164185442516,18.08318456491376
grid_s12_b0p2_h0p1,36,179506,7.992713586943819,6.913147834981071,6.452484672635581,8.579398734324617,19.000075183391406
grid_s12_b0p05_h0,36,179506,8.003183456091884,6.446713030907322,4.925915335558894,8.435882739055225,19.60075165187746
grid_s8_b0p3_h0p05,36,179506,8.004772641482383,7.027495633228915,6.3380886345386696,9.389006977293475,18.471102900603043
grid_s8_b0p2_h0p2,36,179506,8.010913872636243,7.07785775673819,6.426027270505033,9.681404882226904,18.682627791717085
grid_s12_b0p1_h0p25,36,179506,8.054471288898721,7.052992660414289,6.347215202355784,8.923844527813689,19.229456870199936
grid_s5_b0p3_h0p15,36,179506,8.086319644238324,7.170043336861102,6.698131696937271,9.100906879827662,18.00689292998745
grid_s12_b0p2_h0p15,36,179506,8.095992742856186,7.073074141734502,6.325747186451817,9.013848452572532,19.120006681213244
grid_s8_b0p3_h0p1,36,179506,8.136417815839167,7.186361781625028,6.504736737824025,9.616206080556337,18.610863458102965
grid_s12_b0p3_h0,36,179506,8.146703575469042,7.0747074668315735,6.492532342142592,8.81191501784021,18.93582419088714
grid_s12_b0_h0,36,179506,8.15422916230589,6.518260715141255,4.927366369855336,8.563712118326428,20.124866049224853
grid_s3_b0p3_h0p2,36,179506,8.17969343767579,7.25528626078857,6.8990573777597035,9.703464349133974,17.436311867600384
grid_s8_b0p2_h0p25,36,179506,8.203468510574238,7.284524372246279,6.832723141182257,9.628880621644095,18.837074501333127
grid_s12_b0p3_h0p05,36,179506,8.237545659337805,7.209217032084297,6.366627425126919,9.318284671614512,19.046821415341352
grid_s12_b0p2_h0p2,36,179506,8.238072917046637,7.253937517724294,6.619538945106285,9.847060953671164,19.24091189797573
grid_s5_b0p3_h0p2,36,179506,8.285955962787932,7.362937058579352,6.877381391506947,9.752606760129272,18.188840163942807
grid_s8_b0p3_h0p15,36,179506,8.297808241893913,7.3604888695877975,6.804225862296146,9.496224348557066,18.751730874260815
grid_s12_b0p3_h0p1,36,179506,8.358466802948643,7.361367860678478,6.555645476268841,9.829125272232092,19.158623968228245
grid_s3_b0p3_h0p25,36,179506,8.410452402727625,7.460748601597597,7.029585784996759,10.382537025444877,17.66194537459291
grid_s12_b0p2_h0p25,36,179506,8.416989435986741,7.452297637773713,6.928088361060169,9.776684875292563,19.36277259336944
grid_s8_b0p3_h0p2,36,179506,8.487247214370026,7.54766373013653,6.996872478785825,10.078146743468714,18.893680391559084
grid_s12_b0p3_h0p15,36,179506,8.508184622204798,7.528104795334553,6.8777490660413285,9.74409201134062,19.27121783313954
grid_s5_b0p3_h0p25,36,179506,8.512776730737372,7.568676765817743,7.062563565831402,10.426847017477126,18.372432281623393
grid_s12_b0p3_h0p2,36,179506,8.68521003190206,7.707317151181696,7.27621071178901,10.21385538601763,19.384589221260303
grid_s8_b0p3_h0p25,36,179506,8.702903300030215,7.746373342627272,7.206718289995661,10.57951004476519,19.036687803531485
grid_s12_b0p3_h0p25,36,179506,8.8879114810055,7.897585765333198,7.466634759522044,10.622506212396221,19.49872457033953
